Silence,DFAexp,sub_id,ch
1,0.6974116827287541,8.0,4.0
1,0.7264993166813697,8.0,5.0
1,0.7661622850801938,8.0,6.0
1,0.6663559147149503,8.0,7.0
1,0.7636225164062782,8.0,8.0
1,0.7687563539020369,8.0,9.0
2,0.8699567143551079,8.0,0.0
2,0.9392282165608822,8.0,1.0
2,0.9260243111407487,8.0,2.0
2,0.8784829377984319,8.0,3.0
2,0.8185291407075839,8.0,4.0
2,0.8178256176299626,8.0,5.0
2,0.8397963670356949,8.0,6.0
2,0.7879962540631618,8.0,7.0
2,0.7659990381775754,8.0,8.0
1,0.7631576364777374,6.0,0.0
1,0.6223438186578737,6.0,1.0
1,0.6405675111682437,6.0,2.0
1,0.6413657581360658,6.0,3.0
1,0.6782125649459435,6.0,4.0
1,0.6116619250560296,6.0,5.0
1,0.6297263906378481,6.0,6.0
1,0.5963938296983519,6.0,7.0
2,0.6751564131650447,6.0,0.0
2,0.6954634312381431,6.0,1.0
2,0.6924076065446111,6.0,2.0
2,0.6251137298847507,6.0,3.0
2,0.7279184864980797,6.0,4.0
2,0.6538129260893332,6.0,5.0
2,0.6999236786503277,6.0,6.0
2,0.6768616653501559,6.0,7.0
