Silence,DFAexp,sub_id,ch
2,0.9227631305570989,7.0,0.0
2,0.8789147068278517,7.0,1.0
2,0.8670990125312426,7.0,2.0
2,0.8315279193394629,7.0,3.0
2,0.8318305365567907,7.0,4.0
2,0.8805137832715834,7.0,5.0
2,0.8609093526136887,7.0,6.0
2,0.8368994580026545,7.0,7.0
2,0.8216638033116825,7.0,8.0
2,0.8036024129416655,7.0,9.0
1,1.1197154388504091,9.0,0.0
1,1.110726170098613,9.0,1.0
1,1.0563621473243556,9.0,2.0
1,1.076091743084599,9.0,3.0
1,1.093573702213751,9.0,4.0
1,1.0327779630366472,9.0,5.0
1,1.0455132704761436,9.0,6.0
1,1.069857344303437,9.0,7.0
1,1.059498209321056,9.0,8.0
2,1.001680736288331,9.0,0.0
2,1.0139097614456638,9.0,1.0
2,1.0182100108908556,9.0,2.0
2,1.0027349222501574,9.0,3.0
2,1.0054797550669665,9.0,4.0
2,1.004527993915787,9.0,5.0
2,0.9997474431395265,9.0,6.0
1,0.868391532009134,10.0,0.0
1,0.8768061702586958,10.0,1.0
1,0.8840842104783558,10.0,2.0
1,0.8874975712476624,10.0,3.0
1,0.925620228791529,10.0,4.0
1,0.8767737691410129,10.0,5.0
1,0.8730302869000268,10.0,6.0
1,0.8642120950805608,10.0,7.0
1,0.8657241829554472,10.0,8.0
1,0.8909564298209552,10.0,9.0
2,0.9016846929915444,10.0,0.0
2,0.9607816032588622,10.0,1.0
2,0.9766283102868085,10.0,2.0
2,0.9732039466571967,10.0,3.0
2,0.9597756286998328,10.0,4.0
2,0.9437131645965746,10.0,5.0
2,0.9402945211930375,10.0,6.0
2,0.9648412803809469,10.0,7.0
2,0.9805819668598368,10.0,8.0
1,1.0664332673816679,11.0,0.0
1,1.0622457553146318,11.0,1.0
1,1.0376572692380792,11.0,2.0
1,1.05572958565732,11.0,3.0
1,1.0572761914035829,11.0,4.0
1,1.0700242246670233,11.0,5.0
1,1.066289460872707,11.0,6.0
1,1.0370843693573553,11.0,7.0
1,1.038470563828577,11.0,8.0
1,1.0647577583699421,11.0,9.0
2,1.0111676362178472,11.0,0.0
2,1.0197375214556104,11.0,1.0
2,0.9988246538410299,11.0,2.0
2,1.0113898505701902,11.0,3.0
2,1.0100657044774157,11.0,4.0
2,1.0018093682394849,11.0,5.0
2,1.0169418945178297,11.0,6.0
2,0.9979744476027518,11.0,7.0
2,0.9783337142642848,11.0,8.0
2,1.0794069735386662,11.0,9.0
1,0.8657469261935802,12.0,0.0
1,0.9436746243887985,12.0,1.0
1,0.9537564907734523,12.0,2.0
1,0.920924541781727,12.0,3.0
1,0.8587085725564398,12.0,4.0
1,0.9076091123193972,12.0,5.0
1,0.9423212838610935,12.0,6.0
1,0.9338292396544362,12.0,7.0
1,0.8744886240802658,12.0,8.0
1,0.8497278518608309,12.0,9.0
2,0.8588255121864876,12.0,0.0
2,0.8758588206409451,12.0,1.0
2,0.9088382556753776,12.0,2.0
2,0.8806043111104054,12.0,3.0
2,0.8667996465787678,12.0,4.0
2,0.87359248575742,12.0,5.0
2,0.8672016645590046,12.0,6.0
2,0.8446304406806908,12.0,7.0
2,0.8350967521223699,12.0,8.0
1,1.0376366010124785,8.0,0.0
1,0.9714923116530766,8.0,1.0
1,1.0007729348710002,8.0,2.0
1,0.9910805250266521,8.0,3.0
1,1.0835865955787463,8.0,4.0
1,1.0059324383242831,8.0,5.0
1,1.033071093497837,8.0,6.0
1,1.0231403704732813,8.0,7.0
1,1.011460235849721,8.0,8.0
1,1.029086388045308,8.0,9.0
2,0.6281340211027742,8.0,0.0
2,0.8076475319108234,8.0,1.0
2,0.698538383997886,8.0,2.0
2,0.6804949640085336,8.0,3.0
2,0.6312183262806021,8.0,4.0
2,0.6817190359991054,8.0,5.0
2,0.7293892884586515,8.0,6.0
2,0.6917008928892945,8.0,7.0
2,0.6828424619134141,8.0,8.0
1,0.7932244367625356,6.0,0.0
1,0.797794014398612,6.0,1.0
1,0.7716476990884389,6.0,2.0
1,0.8029496972422308,6.0,3.0
1,0.7872957800827769,6.0,4.0
1,0.7764894941949252,6.0,5.0
1,0.7949910515527487,6.0,6.0
1,0.8280367515517377,6.0,7.0
2,0.8591948536113546,6.0,0.0
2,0.8616466591427959,6.0,1.0
2,0.8634900516151423,6.0,2.0
2,0.8369686378442925,6.0,3.0
2,0.8426294462541333,6.0,4.0
2,0.845766058863287,6.0,5.0
2,0.8533313431908816,6.0,6.0
2,0.8533916513789301,6.0,7.0
